185,Doug McDermott,"SF,PF",SAS,74,27.1,-2.23,$1,$1.0,$0.1
186,Donte DiVincenzo,"PG,SG",MIL,58,24.9,-2.23,$1,$1.0,$0.8
187,Cedi Osman,"SF,PF",CLE,72,27.1,-2.24,$1,$,$0.0
188,Maxi Kleber,"PF,C",DAL,70,18.1,-2.25,$1,$1.0,$0.0
189,Justin Holiday,"SG,SF",IND,78,27.1,-2.27,$1,$1.0,$0.0
190,Talen Horton-Tucker,"SG,SF",LAL,68,24.2,-2.29,$1,$1.0,$0.1
191,Herbert Jones,SF,NOP,46,25.3,-2.31,$1,$,$0.0
192,Luke Kennard,"SG,SF",LAC,66,25.5,-2.32,$1,$,$0.0
193,Cameron Johnson,"SF,PF",PHX,72,26.7,-2.34,$1,$1.3,$0.0
194,Josh Okogie,"SG,SF",MIN,68,28.2,-2.40,$1,$,$0.0
195,Chris Duarte,SG,IND,71,28.2,-2.40,$1,$,$0.0
196,Blake Griffin,"PF,C",BRO,68,25.5,-2.41,$1,$1.2,$0.3
197,Lonnie Walker IV,"SG,SF",SAS,74,26.1,-2.41,$1,$,$0.0
198,Goran Dragic,"PG,SG",TOR,64,26.4,-2.42,$1,$1.3,$0.1
199,Raul Neto,PG,WAS,63,20.4,-2.48,$1,$,$0.0
200,Jaden McDaniels,PF,MIN,75,27.9,-2.63,$1,$1.3,$0.0
